Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
howard beach,howard beach,124,100.0,howard beach,2007,Number,138052.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2007,Number,123412.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2007,Number,218120.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2007,Number,202070.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2007,Number,115052.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2007,Number,182833.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2007,Number,134188.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2007,Number,164592.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2007,Number,1373659.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2007,Number,2528050.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2007,Number,1620867.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2007,Number,2270338.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2007,Number,481613.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2007,Number,8274527.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2008,Number,61639.90009,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2008,Number,90993.09991,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2008,Number,168794.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2008,Number,96738.45502,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2008,Number,48416.54498,105,100,Manhattan,garment district,176155,1535202,298,1727069
