Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2008,Number,149132.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2008,Number,207754.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2008,Number,232241.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2008,Number,123363.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2008,Number,125875.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2008,Number,126609.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2008,Number,203239.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2008,Number,96940.62052,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2008,Number,55354.37948,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2008,Number,74816.68751,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2008,Number,138648.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2008,Number,125990.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2008,Number,78105.3125,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2008,Number,122723.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2008,Number,123077.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2008,Number,183514.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2008,Number,116692.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2008,Number,130517.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2008,Number,145525.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2008,Number,149665.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2008,Number,116528.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2008,Number,141064.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2008,Number,127496.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2008,Number,156855.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2008,Number,118144.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2008,Number,147678.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2008,Number,122392.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2008,Number,111833.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2008,Number,121390.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2008,Number,183083.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2008,Number,170292.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2008,Number,104974.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2008,Number,172592.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2008,Number,145146.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2008,Number,113502.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2008,Number,147017.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2008,Number,206947.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2008,Number,178480.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2008,Number,132863.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2008,Number,190173.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2008,Number,143406.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2008,Number,143406.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2008,Number,167834.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2008,Number,116831.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2008,Number,254571.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2008,Number,143686.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2008,Number,155865.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2008,Number,140123.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2008,Number,124989.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2008,Number,222807.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2008,Number,203425.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2008,Number,117954.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2008,Number,179225.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2008,Number,142188.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2008,Number,165994.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2008,Number,1391903.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2008,Number,2556598.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2008,Number,1634795.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2008,Number,2293007.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2008,Number,487407.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2008,Number,8363710.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2009,Number,56591.85182,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2009,Number,83541.14818,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2009,Number,162014.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2009,Number,98282.61816,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2009,Number,49189.38184,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2009,Number,155527.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2009,Number,213137.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2009,Number,234133.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2009,Number,132851.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2009,Number,122336.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2009,Number,113328.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2009,Number,208123.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2009,Number,96740.11298,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2009,Number,55239.88702,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2009,Number,73348.45613,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2009,Number,136768.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2009,Number,152903.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2009,Number,76572.54388,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2009,Number,130290.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2009,Number,105102.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2009,Number,182737.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2009,Number,114885.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2009,Number,126715.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2009,Number,145986.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2009,Number,139263.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2009,Number,121297.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2009,Number,132514.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2009,Number,134869.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2009,Number,163813.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2009,Number,118886.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2009,Number,158333.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2009,Number,125931.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2009,Number,109170.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2009,Number,128811.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2009,Number,163384.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2009,Number,163645.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2009,Number,111063.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2009,Number,163298.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2009,Number,149806.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2009,Number,118392.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2009,Number,151181.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2009,Number,213442.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2009,Number,176394.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2009,Number,131011.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2009,Number,187902.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2009,Number,147604.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2009,Number,147604.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2009,Number,187972.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2009,Number,114945.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2009,Number,264586.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2009,Number,161047.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2009,Number,146340.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2009,Number,125305.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2009,Number,123621.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2009,Number,220918.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2009,Number,201542.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2009,Number,117525.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2009,Number,179381.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2009,Number,150278.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2009,Number,162071.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2009,Number,1397287.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2009,Number,2567098.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2009,Number,1629054.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2009,Number,2306712.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2009,Number,491730.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2009,Number,8391881.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2010,Number,58534.74464,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2010,Number,86409.25536,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2010,Number,159009.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
